"ФИО, Группа, метод обучения, оценка за тест, дата теста, название теста"
"Петров Пет232ор Петрович, Первая группа, Смешанное обучение, 3, 2025-10-12, Первый тест"
"Петров Петор Петрович, Первая группа, Смешанное обучение, 3, 2025-10-13, Второй тест"
"Петров Петор Петрович, Первая группа, Смешанное обучение, 2, 2025-10-14, Третий тест"
"Паркер Питер Бенсон, Первая группа, Смешанное обучение, 4, 2025-10-12, Первый тест"
"Паркер Питер Бенсон, Первая группа, Смешанное обучение, 3, 2025-10-13, Второй тест"
"Паркер Питер Бенсон, Первая группа, Смешанное обучение, 4, 2025-10-14, Третий тест"
"Воробьев Павел Сергеевич, Первая группа, Смешанное обучение, 5, 2025-10-12, Первый тест"
"Воробьев Павел Сергеевич, Первая группа, Смешанное обучение, 5, 2025-10-13, Второй тест"
"Воробьев Павел Сергеевич, Первая группа, Смешанное обучение, 5, 2025-10-14, Третий тест"
"Иванов Иван Иванович, Вторая группа, Онлайн-курсы, 5, 2025-10-12, Первый тест"
"Иванов Иван Иванович, Вторая группа, Онлайн-курсы, 3, 2025-10-13, Второй тест"
"Иванов Иван Иванович, Вторая группа, Онлайн-курсы, 4, 2025-10-14, Третий тест"
"Капитанов Иоан Александрович, Вторая группа, Онлайн-курсы, 5, 2025-10-12, Первый тест"
"Капитанов Иоан Александрович, Вторая группа, Онлайн-курсы, 5, 2025-10-13, Второй тест"
"Капитанов Иоан Александрович, Вторая группа, Онлайн-курсы, 3, 2025-10-14, Третий тест"
"Светланова Иола Константиновна, Вторая группа, Онлайн-курсы, 3, 2025-10-12, Первый тест"
"Светланова Иола Константиновна, Вторая группа, Онлайн-курсы, 3, 2025-10-13, Второй тест"
"Светланова Иола Константиновна, Вторая группа, Онлайн-курсы, 3, 2025-10-14, Третий тест"
"Сергеев Сергей Иванович, Третья группа, Очное обучение, 5, 2025-10-12, Первый тест"
"Сергеев Сергей Иванович, Третья группа, Очное обучение, 5, 2025-10-13, Второй тест"
"Сергеев Сергей Иванович, Третья группа, Очное обучение, 5, 2025-10-14, Третий тест"
"Стулов Себастьян Георгиевич, Третья группа, Очное обучение, 4, 2025-10-12, Первый тест"
"Стулов Себастьян Георгиевич, Третья группа, Очное обучение, 3, 2025-10-13, Второй тест"
"Стулов Себастьян Георгиевич, Третья группа, Очное обучение, 4, 2025-10-14, Третий тест"
"Рокова Светлана Алексеевна, Третья группа, Очное обучение, 4, 2025-10-12, Первый тест"
"Рокова Светлана Алексеевна, Третья группа, Очное обучение, 5, 2025-10-13, Второй тест"
"Рокова Светлана Алексеевна, Третья группа, Очное обучение, 4, 2025-10-14, Третий тест"
